MatchID,Team name
106,West Ham
106,Burnley
107,Wolves
107,Tottenham
108,Chelsea
108,Crystal Palace
109,Man City
109,Southampton
110,Huddersfield
110,Fulham
111,Cardiff
111,Brighton
112,Crystal Palace
112,Tottenham
113,Huddersfield
113,West Ham
114,Leicester
114,Burnley
115,Newcastle
115,Bournemouth
116,Southampton
116,Watford
117,Arsenal
117,Wolves
118,Chelsea
118,Everton
119,Liverpool
119,Fulham
120,Man City
120,Man United
121,Brighton
121,Leicester
122,Everton
122,Cardiff
123,Fulham
123,Southampton
124,Man United
124,Crystal Palace
125,Tottenham
125,Chelsea
126,Watford
126,Liverpool
127,West Ham
127,Man City
128,Bournemouth
128,Arsenal
129,Wolves
129,Huddersfield
130,Burnley
130,Newcastle
131,Cardiff
131,Wolves
132,Crystal Palace
132,Burnley
133,Huddersfield
133,Brighton
134,Leicester
134,Watford
135,Man City
135,Bournemouth
136,Newcastle
136,West Ham
137,Southampton
137,Man United
138,Arsenal
138,Tottenham
139,Chelsea
139,Fulham
140,Liverpool
140,Everton
141,Bournemouth
141,Huddersfield
142,Brighton
142,Crystal Palace
143,Watford
143,Man City
144,West Ham
144,Cardiff
145,Burnley
145,Liverpool
146,Everton
146,Newcastle
147,Fulham
147,Leicester
148,Man United
148,Arsenal
149,Tottenham
149,Southampton
150,Wolves
150,Chelsea
151,Arsenal
151,Huddersfield
152,Bournemouth
152,Liverpool
153,Burnley
153,Brighton
154,Cardiff
154,Southampton
155,Chelsea
155,Man City
156,Leicester
156,Tottenham
157,Man United
157,Fulham
158,West Ham
158,Crystal Palace
159,Newcastle
159,Wolves
160,Everton
160,Watford
161,Crystal Palace
161,Leicester
162,Fulham
162,West Ham
163,Huddersfield
163,Newcastle
164,Man City
164,Everton
165,Tottenham
165,Burnley
166,Watford
166,Cardiff
167,Wolves
167,Bournemouth
168,Brighton
168,Chelsea
169,Liverpool
169,Man United
170,Southampton
170,Arsenal
171,Wolves
171,Liverpool
172,Arsenal
172,Burnley
173,Bournemouth
173,Brighton
174,Cardiff
174,Man United
175,Chelsea
175,Leicester
176,Huddersfield
176,Southampton
177,Man City
177,Crystal Palace
178,Newcastle
178,Fulham
179,West Ham
179,Watford
180,Everton
180,Tottenham
181,Brighton
181,Arsenal
182,Burnley
182,Everton
183,Crystal Palace
183,Cardiff
184,Fulham
184,Wolves
185,Leicester
185,Man City
186,Liverpool
186,Newcastle
187,Man United
187,Huddersfield
188,Tottenham
188,Bournemouth
189,Watford
189,Chelsea
190,Southampton
190,West Ham
191,Brighton
191,Everton
192,Fulham
192,Huddersfield
193,Leicester
193,Cardiff
194,Liverpool
194,Arsenal
195,Tottenham
195,Wolves
196,Watford
196,Newcastle
197,Burnley
197,West Ham
198,Crystal Palace
198,Chelsea
199,Man United
199,Bournemouth
200,Southampton
200,Man City
201,Arsenal
201,Fulham
202,Cardiff
202,Tottenham
203,Everton
203,Leicester
204,Bournemouth
204,Watford
205,Chelsea
205,Southampton
206,Huddersfield
206,Burnley
207,Newcastle
207,Man United
208,West Ham
208,Brighton
209,Wolves
209,Crystal Palace
210,Man City
210,Liverpool
211,Brighton
211,Liverpool
212,Burnley
212,Fulham
213,Cardiff
213,Huddersfield
214,Chelsea
214,Newcastle
215,Crystal Palace
215,Watford
216,Leicester
216,Southampton
217,West Ham
217,Arsenal
218,Everton
218,Bournemouth
219,Tottenham
219,Man United
220,Man City
220,Wolves
221,Arsenal
221,Chelsea
222,Bournemouth
222,West Ham
223,Liverpool
223,Crystal Palace
224,Man United
224,Brighton
225,Newcastle
225,Cardiff
226,Southampton
226,Everton
227,Watford
227,Burnley
228,Wolves
228,Leicester
229,Fulham
229,Tottenham
230,Huddersfield
230,Man City
231,Arsenal
231,Cardiff
232,Fulham
232,Brighton
233,Huddersfield
233,Everton
234,Man United
234,Burnley
235,Newcastle
235,Man City
236,Wolves
236,West Ham
237,Bournemouth
237,Chelsea
238,Liverpool
238,Leicester
239,Southampton
239,Crystal Palace
240,Tottenham
240,Watford
241,Brighton
241,Watford
242,Burnley
242,Southampton
243,Cardiff
243,Bournemouth
244,Chelsea
244,Huddersfield
245,Crystal Palace
245,Fulham
246,Everton
246,Wolves
247,Tottenham
247,Newcastle
248,Leicester
248,Man United
249,Man City
249,Arsenal
250,West Ham
250,Liverpool
251,Everton
251,Man City
252,Brighton
252,Burnley
253,Crystal Palace
253,West Ham
254,Fulham
254,Man United
255,Huddersfield
255,Arsenal
256,Liverpool
256,Bournemouth
257,Southampton
257,Cardiff
258,Watford
258,Everton
259,Man City
259,Chelsea
260,Tottenham
260,Leicester
261,Wolves
261,Newcastle
262,Cardiff
262,Watford
263,West Ham
263,Fulham
264,Bournemouth
264,Wolves
265,Burnley
265,Tottenham
266,Leicester
266,Crystal Palace
267,Newcastle
267,Huddersfield
268,Arsenal
268,Southampton
269,Man United
269,Liverpool
270,Cardiff
270,Everton
271,Huddersfield
271,Wolves
272,Leicester
272,Brighton
273,Newcastle
273,Burnley
274,Arsenal
274,Bournemouth
275,Chelsea
275,Tottenham
276,Crystal Palace
276,Man United
277,Liverpool
277,Watford
278,Man City
278,West Ham
279,Southampton
279,Fulham
280,Bournemouth
280,Man City
281,Brighton
281,Huddersfield
282,Burnley
282,Crystal Palace
283,Man United
283,Southampton
284,Tottenham
284,Arsenal
285,West Ham
285,Newcastle
