MatchID,Team name
1,Man United
1,Leicester
2,Bournemouth
2,Cardiff
3,Fulham
3,Crystal Palace
4,Huddersfield
4,Chelsea
5,Newcastle
5,Tottenham
6,Watford
6,Brighton
7,Wolves
7,Everton
8,Arsenal
8,Man City
9,Liverpool
9,West Ham
10,Southampton
10,Burnley
11,Cardiff
11,Newcastle
12,Chelsea
12,Arsenal
13,Everton
13,Southampton
14,Leicester
14,Wolves
15,Tottenham
15,Fulham
16,West Ham
16,Bournemouth
17,Brighton
17,Man United
18,Burnley
18,Watford
19,Man City
19,Huddersfield
20,Crystal Palace
20,Liverpool
21,Arsenal
21,West Ham
22,Bournemouth
22,Everton
23,Huddersfield
23,Cardiff
24,Liverpool
24,Brighton
25,Southampton
25,Leicester
26,Wolves
26,Man City
27,Fulham
27,Burnley
28,Newcastle
28,Chelsea
29,Watford
29,Crystal Palace
30,Man United
30,Tottenham
31,Brighton
31,Fulham
32,Chelsea
32,Bournemouth
33,Crystal Palace
33,Southampton
34,Everton
34,Huddersfield
35,Leicester
35,Liverpool
36,Man City
36,Newcastle
37,West Ham
37,Wolves
38,Burnley
38,Man United
39,Cardiff
39,Arsenal
40,Watford
40,Tottenham
41,Bournemouth
41,Leicester
42,Chelsea
42,Cardiff
43,Huddersfield
43,Crystal Palace
44,Man City
44,Fulham
45,Newcastle
45,Arsenal
46,Tottenham
46,Liverpool
47,Watford
47,Man United
48,Everton
48,West Ham
49,Wolves
49,Burnley
50,Southampton
50,Brighton
51,Brighton
51,Tottenham
52,Burnley
52,Bournemouth
53,Cardiff
53,Man City
54,Crystal Palace
54,Newcastle
55,Fulham
55,Watford
56,Leicester
56,Huddersfield
57,Liverpool
57,Southampton
58,Man United
58,Wolves
59,Arsenal
59,Everton
60,West Ham
60,Chelsea
61,Arsenal
61,Watford
62,Chelsea
62,Liverpool
63,Everton
63,Fulham
64,Huddersfield
64,Tottenham
65,Man City
65,Brighton
66,Newcastle
66,Leicester
67,West Ham
67,Man United
68,Wolves
68,Southampton
69,Cardiff
69,Burnley
70,Bournemouth
70,Crystal Palace
71,Brighton
71,West Ham
72,Burnley
72,Huddersfield
73,Crystal Palace
73,Wolves
74,Leicester
74,Everton
75,Man United
75,Newcastle
76,Tottenham
76,Cardiff
77,Watford
77,Bournemouth
78,Fulham
78,Arsenal
79,Liverpool
79,Man City
80,Southampton
80,Chelsea
81,Bournemouth
81,Southampton
82,Cardiff
82,Fulham
83,Chelsea
83,Man United
84,Huddersfield
84,Liverpool
85,Man City
85,Burnley
86,Newcastle
86,Brighton
87,West Ham
87,Tottenham
88,Wolves
88,Watford
89,Everton
89,Crystal Palace
90,Arsenal
90,Leicester
91,Brighton
91,Wolves
92,Fulham
92,Bournemouth
93,Leicester
93,West Ham
94,Liverpool
94,Cardiff
95,Southampton
95,Newcastle
96,Watford
96,Huddersfield
97,Burnley
97,Chelsea
98,Crystal Palace
98,Arsenal
99,Man United
99,Everton
100,Tottenham
100,Man City
101,Arsenal
101,Liverpool
102,Bournemouth
102,Man United
103,Cardiff
103,Leicester
104,Everton
104,Brighton
105,Newcastle
105,Watford
